path,size,last_modified,category,recommendation,destination,priority,notes
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/ACCESSIBILITY_AUDIT_SUMMARY.md,1661,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/COMPRESSION_REPORT.md,5880,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/DMB_TIER_1_IMPLEMENTATION_GUIDE_SUMMARY.md,1328,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/GPU_COMPUTE_DEVELOPER_GUIDE_SUMMARY.md,7201,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/GPU_TESTING_GUIDE_SUMMARY.md,4471,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/HYBRID_WEBGPU_RUST_20_WEEK_PLAN_SUMMARY.md,1685,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/IMPLEMENTATION_GUIDE_CHROMIUM_143_SUMMARY.md,1363,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/MODERNIZATION_AUDIT_2026_SUMMARY.md,3712,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/NATIVE_API_AND_RUST_DEEP_DIVE_2026_SUMMARY.md,6254,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/ORGANIZATION_STATUS_2026-01-30_SUMMARY.md,3295,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/RUST_NATIVE_API_MODERNIZATION_SUMMARY.md,4707,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/.compressed/SECURITY_IMPLEMENTATION_GUIDE_SUMMARY.md,1294,2026-01-30,compressed_summary,move,../../docs/reports/ (workspace level),P1,Move to workspace docs/reports for cross-project access
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/AUDIT_DETAILED_FINDINGS.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/AUDIT_INDEX.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/AUDIT_QUICK_WINS.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/AUDIT_README.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/AUDIT_REPORT.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/AUDIT_SUMMARY.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/AUTOMATION_DEBUG_REPORT.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/AUTOMATION_FIX_QUICK_REFERENCE.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/COMPLETION_REPORT.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/COMPREHENSIVE_AUTOMATION_DEBUG.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/FEATURES.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/FILE_INDEX.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/FIXES_COMPLETE.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/PARSER_FIX_REPORT.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/SELECTOR_FIXES_IMPLEMENTATION.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/SELECTOR_FIXES_QUICKREF.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/TEST_REPORT.md,varies,2026-01-25,scattered_report,move,app/docs/scraping/ or app/docs/archive/,P1,"Reports and audits should be in docs/, not code directories"
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/checkpoints,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/docs/audits,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/docs/completion-reports,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/docs/architecture,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/scraper/docs/guides,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/docs/analysis/misc-css,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/docs/analysis/misc-memory,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/docs/analysis/chromium,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/docs/analysis/misc-wasm,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/docs/analysis/misc-pwa,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/docs/analysis/misc-performance,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/public,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/WEEK8_IMPLEMENTATIONS,0,N/A,orphaned_directory,delete,N/A,P2,Empty directory - no files
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/test-results/,1700000,2026-01-30,test_artifacts,delete,N/A,P2,Playwright test artifacts - regenerated on test run. Add to .gitignore
/Users/louisherman/ClaudeCodeProjects/projects/dmb-almanac/app/.svelte-kit/,512000,2026-01-30,build_artifacts,verify_gitignore,N/A,P3,Build artifacts - should be in .gitignore
